Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
33,Nebraska,B10,33,22–11,108.6,83.4,0.954,49.4,46.1,20.5,20.2,35.7,23.8,28.3,24.1,48.6,46.6,33.7,30.2,41.3,36.3,69.4,2.8
34,Arizona,P12,32,17–15,105.8,81.7,0.9517,47.6,48,20.5,27.4,30.7,34.7,28.2,31.4,47.7,48.1,31.4,31.9,22.8,34.9,70.5,0.6
35,Princeton,Ivy,29,25–4,107.2,82.8,0.9513,49.9,45.2,19.5,26.8,39.3,27.9,21.7,26.8,50,40.3,33.2,38,24.7,29.7,66.3,2.8
36,Marquette,BE,31,23–8,103.8,80.4,0.9498,50.7,44.6,20.9,23.1,30.3,23.1,22.9,24,48.8,43,36.7,32.2,30.7,29.5,70.4,1.6
37,Texas A&M,SEC,31,19–12,101.5,78.8,0.9484,45,41.3,20.1,22.8,36.7,25.9,24.4,29.5,46.2,40.2,27.9,29.4,28.7,28.6,69.5,-0.34
38,UNLV,MWC,32,30–2,109.1,84.9,0.9474,52.3,42.4,14.9,19.3,32.3,20.6,23.4,18.3,51.6,42.4,35.8,28.2,34.1,32.4,70.1,1.7
39,Washington St.,P12,32,18–14,107.9,83.9,0.9472,49.9,43.8,18.2,20.1,28.5,30.5,22.6,21.5,49.8,41.1,33.4,33.9,30.3,28,67.8,0.46
40,Alabama,SEC,32,23–9,107.9,84,0.9468,49.6,43.1,21.1,24.5,35.8,32.5,31.7,26.6,48.2,42.9,34.9,29.1,35.2,27.7,69.7,2
41,Villanova,BE,30,18–12,106.5,83.1,0.9452,45.1,44.7,16.3,23.4,32.4,32.7,18.6,23.7,46,42.9,28.8,32.9,32.6,27.8,66,-1.3
42,Florida St.,ACC,33,23–10,108.2,84.5,0.9452,46.6,43.7,15,18.9,27.5,32.2,27.3,18.9,46.4,42.9,31.3,30.4,33.2,29.9,75.6,2.3
43,Auburn,SEC,31,20–11,96.8,76.2,0.9404,43.6,41.3,21.2,28.5,32.3,30.5,31,35.4,43.7,41.1,29,27.9,21.7,26,71.5,0.06
44,Middle Tennessee,CUSA,33,29–4,105.9,83.5,0.9389,51.3,40,17.7,21.9,31.6,28.6,29,22,50.5,38.1,35,29,42.4,35.4,65.1,0.17
45,Washington,P12,30,16–14,102.2,80.7,0.9378,48,43.6,20.3,21,30.3,28.3,20.1,22.8,48,43.3,32,29.4,35.9,30.7,65.5,-1.4
46,TCU,B12,30,19–11,108.1,85.8,0.9345,51.2,41.7,20.8,17.8,31.5,29.3,26.2,24.2,48.7,41.3,36.1,28.3,45.1,33.3,66.6,-1.1
47,Oklahoma St.,B12,30,14–16,105.8,84.6,0.9294,50.4,46.5,20.3,20.6,23.1,28.6,25.3,24.3,50.9,47.1,33,30.3,38.4,36.4,69.8,-3.4
48,Michigan,B10,33,20–13,104.8,84,0.927,49.1,48.7,21.7,24.1,34.7,25.5,26,29.1,47.2,48.6,35.3,32.6,33.2,36,68.2,0.3
49,Green Bay,Horz,32,26–6,109.2,87.7,0.9257,53.3,44.5,16.5,22.9,30.1,26.6,26.8,22.3,54.6,42.5,33.9,31.6,33.9,41,65.3,-1.9
50,California,P12,32,18–14,108.1,87,0.9246,47.1,47,22.2,20.4,35.2,32.1,22.9,25.9,46.3,45.4,32.1,34.3,43.1,26.7,68,0.08
51,Syracuse,ACC,30,23–7,108.5,87.4,0.923,46.9,44.4,20.4,22.9,40.5,34,26.1,23.3,46.3,44.9,32.1,28.9,32.5,30.1,70.6,4
52,Mississippi St.,SEC,32,21–11,110.9,89.6,0.921,49.8,44.7,20.2,19.8,36.5,29.5,28.8,21.2,48.5,43.8,35.4,31.1,27.8,32.7,70.3,-1.1
53,Vanderbilt,SEC,31,22–9,102.7,83.1,0.9194,46.2,45.3,20.8,25.3,35.3,31,26.8,25,45.1,46.3,32.4,29,33,35.6,69.3,1
54,Florida Gulf Coast,ASun,31,27–4,105.1,85.5,0.9156,51.8,45.2,20,26.9,34.1,25.5,32.7,28.7,57.3,44.7,30.8,31,50.3,27.7,67,0.19
55,Florida,SEC,31,16–15,105.5,85.9,0.9143,48,45.2,20.1,24,30.9,35.4,28.9,36.1,47.7,43.4,32.5,33,29.7,28.6,74.3,-3.4
56,Illinois,B10,29,14–15,108.5,88.6,0.9112,49.4,47.7,17.1,20.8,31.5,29.2,26,24.5,50.2,48.2,31.6,31.2,26.8,34.2,69.3,-3.4
57,Miami FL,ACC,31,19–12,101.4,83,0.9097,48.6,42.9,23.5,24.6,37.5,33.7,21.8,23.4,48.8,41.3,32.2,30.4,33.7,36.1,67.5,-1.1
58,Richmond,A10,34,29–5,109,89.3,0.9083,55.7,42.2,20.8,21,24.9,31.5,28.8,21.2,54.9,40.4,37.7,30.1,44.3,37.5,69,1.5
59,Saint Joseph's,A10,31,26–5,102,83.6,0.9073,49.9,42.8,20,22.3,30.4,28.6,23.9,17.4,49.3,41.8,34,30.1,31.9,29.7,65.5,-0.6
60,Columbia,Ivy,29,23–6,110.8,91.5,0.9009,51.8,44.5,21.4,21.5,40.4,29.2,26.7,25.6,53.5,43.3,32.8,31.6,39.5,29.3,70.3,-0.8
61,Seton Hall,BE,31,17–14,100.8,84.1,0.8902,46.5,46.9,20.5,25.2,30.2,28.8,25.3,26.4,45.9,46,31.8,32.2,30.7,38.3,67.6,-3.3
62,Drake,MVC,34,29–5,105.8,88.3,0.8892,55.5,46.9,23.3,19.9,32.3,24.3,30,18.8,59.4,44.9,33.3,33.9,40.8,34,74.3,0.33
63,Virginia,ACC,30,15–15,104.4,87.5,0.8842,45.3,45.1,20.1,20.6,34.6,29.2,27,31.3,44.4,44.9,31.4,30.3,33.7,34.7,73.3,-3.4
64,Purdue,B10,31,13–18,103.5,87.1,0.8789,46.9,48.5,20.8,21.5,29.8,29.8,26.5,25.1,45.5,46.7,33.3,34.8,32.6,32,69.5,-4.9
65,George Mason,A10,29,22–7,100.2,84.9,0.8696,44.9,43,19.2,26.8,35.9,31.3,30.6,27.1,43.3,43.3,31.9,28.4,33.2,35.7,70.1,-3
66,Arkansas,SEC,32,18–14,100.9,85.6,0.8688,44.4,44.6,17.1,19.9,23.8,30.6,29.8,22.1,44,43.3,30,31.8,46.6,30,73.2,-2.9
67,Georgia Tech,ACC,32,17–15,102.5,87.3,0.8639,46.9,46.3,18.9,19.8,28.6,28.4,27.1,23,48,46.3,29.8,30.9,32.2,30.3,69.9,-3.8
68,VCU,A10,30,25–5,98,83.5,0.8624,46.4,40.2,23.9,22.2,38.8,26.4,31.6,24.5,43,42.3,36.7,24.2,28.1,34.8,65.2,-1.2
69,South Dakota St.,Sum,30,25–5,101.2,86.4,0.8603,54.5,41.9,21.5,19,32,26.1,33.3,24.8,52.8,42.9,38.7,26.7,32.2,34.8,67.4,-0.27
70,Minnesota,B10,31,16–15,101.6,87.1,0.8558,47.7,49,19.2,22.4,31.9,27,24,21.6,47.1,47,32.5,34.7,34.2,39.2,68,-3.1
71,Belmont,MVC,33,25–8,101.5,88,0.8374,51.1,44,20.7,21,27.9,29.6,31.1,22.8,50.7,44.1,34.4,29.1,40.4,32,67.7,-2.3
72,Santa Clara,WCC,30,22–8,105,91.2,0.8356,50,45.9,20.7,22.6,33.5,29,25,25.8,47.2,46,36.3,30.5,38.6,31.9,66.4,-2.9
73,Georgetown,BE,33,22–11,93.2,81.2,0.8297,44,41.7,23.7,22.7,34.4,28.8,23.7,25.3,44,40.8,29.3,29,28.9,32,65.2,-1.9
74,BYU,B12,32,16–16,101.5,88.5,0.8291,49.6,44.8,24.5,17.7,31.6,25.9,29.5,29,47.3,42.1,36.1,33.6,34.2,32.8,69.2,-4.6
75,Cleveland St.,Horz,34,29–5,101.2,88.4,0.8258,51.3,44.2,20.4,24.2,31.8,28.2,40.5,23,50.1,43.3,36.4,30.4,26.2,38.3,70.7,-1.8
76,Davidson,A10,26,18–8,99.6,87.2,0.8232,49.5,41.7,21.6,24.1,32.9,30.6,26.1,30.1,49.2,40.7,33.4,29.6,34.3,26.4,64.8,-3.9
77,Boston College,ACC,33,14–19,101.1,88.6,0.821,45.9,49.5,21.3,28.1,35.4,36.5,28.3,29.7,47.4,51.1,27.7,30.4,25.9,29.5,73.1,-7.1
78,Clemson,ACC,31,12–19,103.8,91.1,0.8186,49,48.7,23.7,20.9,32.7,32.1,29.7,21.5,49.7,49.1,31.8,32.1,37,35.5,70,-8
79,Missouri,SEC,30,11–19,103.2,90.6,0.8174,51.3,47.6,22.5,19,24.9,29.8,23,23.6,50,47.7,35.5,31.6,39.7,34.8,70.3,-7.9
80,Cincinnati,B12,31,14–17,97.5,85.6,0.8167,39.8,45.9,23.1,21.1,37.5,29.3,36.9,30.9,38.6,47.9,28.6,28.4,28,38.5,68.7,-4.1
81,Ball St.,MAC,32,27–5,98.3,86.4,0.8141,51.1,46.2,19.9,27.1,26.8,28.6,29.7,25.3,52.7,45.8,32.6,31.3,42.1,31.8,69.3,-1.1
82,St. John's,BE,31,17–14,97.8,86.2,0.8105,46,46.7,21.4,24.6,28.8,31.1,28.6,17.5,46.6,46.9,29.7,30.8,29,27.3,64.2,-5.1
83,Fairfield,MAAC,31,30–1,99,87.4,0.8075,53.9,40.7,24.7,26.8,33.8,28.5,24.1,31.8,57.6,40.1,33,27.9,45.3,32.6,69.8,0.43
84,UCF,B12,28,11–17,97.3,86,0.8056,44.2,46.3,26.2,22.6,34.6,28.7,34.1,31.1,43.5,46.4,30.6,30.6,28,31.5,69.6,-6.4
85,Texas Tech,B12,33,17–16,98.1,86.7,0.8049,46,47.3,23.9,26.3,32.8,32.4,31.7,28.5,44.9,48.2,31.9,30.4,37.4,33.1,68.7,-4.2
86,Rhode Island,A10,35,21–14,96.5,85.3,0.8048,45.2,44.2,21.4,24.6,38.3,27.5,27.1,23.3,45.4,42.5,29.8,31.9,29.6,31.1,67.2,-7.6
87,Stony Brook,CAA,31,27–4,96.3,85.4,0.8006,49.4,38.5,22.5,23.1,33.8,27.6,28.6,20.7,49.4,39,32.9,24.8,35.4,32.6,73.8,-2.3
88,Toledo,MAC,30,25–5,99.6,88.3,0.7981,49.4,44.2,18.9,23.5,30.2,25,29.4,26.6,49.1,42.7,33.4,31.5,35,33.1,69.9,-1.2
89,Harvard,Ivy,28,16–12,101.7,90.8,0.7865,48.5,45,20.2,22.2,33.1,31.2,24.3,30.8,49.1,45.6,31.7,29.1,34.9,30.1,68.9,-6
90,Grand Canyon,WAC,31,23–8,94.6,84.6,0.7824,48.8,44,22.5,26.3,33.7,26.7,28.5,30.8,49.3,43.2,31.8,30.2,30.9,36.5,66.9,-6
91,Marshall,SB,30,24–6,103.9,93.2,0.7773,50,48.8,20.6,29.6,36.7,36,30.7,35.4,49.2,49.8,34,30.5,44.8,24.7,78.2,-3.1
92,Houston,B12,30,14–16,97.3,87.3,0.7762,42.6,48.4,20.9,28.6,32.1,35.8,26.7,32.2,42.1,49.1,29,31.2,35.7,29.6,72.5,-5.3
93,Rice,Amer,33,19–14,96.2,86.8,0.7647,44.9,43.9,21.4,23.5,32.2,30.2,27.9,31.6,43.8,43.4,31.6,30.4,30.5,26.5,70,-9
94,Temple,Amer,32,20–12,96.9,87.5,0.7636,43.8,43.4,19.9,26.4,38.1,32.5,23.5,35.1,42.9,43.6,30.7,28.6,27.6,28.9,70.7,-7.4
95,DePaul,BE,32,12–20,100.5,90.9,0.7621,46,49.3,19.8,23.4,31.1,28.3,21.5,27.6,46.4,47.2,30.1,35.8,36.7,32.7,75.8,-9.5
96,Oregon,P12,32,11–21,96.8,87.6,0.7597,42.7,45.9,20.6,15.2,28.7,31.8,29.2,13.9,42.2,44.1,29.4,32.6,23.9,36.4,67.9,-5.4
97,Eastern Washington,BSky,32,27–5,95.6,86.5,0.7597,46.8,41.2,17.2,24.5,31.7,28.3,21.7,26.3,45.3,40.6,33.1,28.5,34.3,29.5,68.8,-2.1
98,North Texas,Amer,30,22–8,99.5,90.2,0.7556,50.3,42.7,23.1,21.9,33.3,31.4,39.4,23.9,51.7,44.3,31,26.6,26.2,35.7,71.7,-4.5
99,South Florida,Amer,33,19–14,97.5,88.5,0.7531,44.4,43.2,20,20.1,34.2,29.5,24.8,27.2,43.9,40.7,30.3,32.8,33.4,29.6,65.3,-7.9
100,Georgia,SEC,30,12–18,95,86.6,0.7443,43.4,44.9,22.8,20.9,33.2,32.9,26.8,27.1,44,42.9,27.5,32.3,21.2,35.9,69.4,-7.4
101,Northern Iowa,MVC,31,16–15,102.1,93,0.7441,49.8,48.4,17.5,20.1,27.8,28.9,25.4,26.5,50,46.2,33,34.8,36.4,37.7,70.4,-8
102,Portland,WCC,31,19–12,92.3,84.2,0.7406,47.8,43.7,25,26.8,30.8,36.4,30.8,28.8,48.1,43.2,31.5,30,34.3,26.7,72.1,-6
103,James Madison,SB,33,22–11,98.2,90.1,0.7287,46.3,41.4,23.2,16.4,37.7,26.8,30.4,26.5,46.1,40.8,31,28.4,28.5,34.9,71.6,-6.4
104,Jackson St.,SWAC,29,23–6,96.9,88.9,0.7285,43.3,38,21.3,22,40.1,32,40.9,33.9,43.6,37,28.4,27.1,30.4,27.6,68.9,-1.4
105,Arizona St.,P12,31,11–20,98.8,90.7,0.7281,41.5,48.1,18,21.8,28.3,38.1,29.1,29.5,39.4,47.9,32.3,32.3,23.4,32.5,68.8,-5.8
106,Tulsa,Amer,32,23–9,97.3,89.3,0.7281,49.3,41.9,21.6,19.3,25.6,31.5,30.3,26.4,48.8,41.3,33.3,29,44.5,29,72.9,-4.5
107,Chattanooga,SC,30,26–4,96.6,88.9,0.7241,50.5,41.3,19.5,20.3,23.4,26.2,32,32.5,48,42.2,37,26.1,33.6,26.8,63.5,-2
108,Murray St.,MVC,30,19–11,105.6,97.2,0.7225,51,49.4,19.5,20.9,33.3,27.2,30.1,26.2,52.6,48.9,32.2,33.7,36.6,30,77.5,-6.9
109,Colorado St.,MWC,30,19–11,97.2,89.5,0.72,50.9,42.6,13.5,18.9,10.8,27.4,20.1,21.3,49.2,41,35.6,30.3,39.9,36.1,68.8,-7.2
110,Wisconsin,B10,29,13–16,93.2,85.9,0.7177,45.3,46.6,26.5,20.8,30.2,32,28.6,27.2,47.3,43.9,27.9,34.4,38,34.8,69.6,-5.3
111,East Carolina,Amer,33,19–14,93.4,86.5,0.7061,42.7,43.7,23.8,29.2,36.6,38.3,32.7,31,43.4,42.1,27.1,31.3,24.8,32.4,70.9,-8.2
112,Butler,BE,29,13–16,99.5,92.2,0.706,49.2,47.8,22.9,19.6,27.9,29.6,19.8,19.6,43.8,47.1,38.2,32.9,39.8,30.9,65.4,-7.8
113,Memphis,Amer,30,13–17,93.2,86.4,0.7053,41.3,47.3,21.5,26.7,37.5,31.8,26.8,39.8,40.2,48,29.5,30,27.2,23,73.6,-10.3
114,Providence,BE,33,13–20,92.4,85.7,0.704,45.3,43.6,28.6,20,35.7,31.3,31.9,21.5,44.1,44.3,32.4,28.4,28,37.8,67.8,-9.5
115,Montana,BSky,30,21–9,103.8,96.5,0.7005,51.7,46.4,19.7,17.5,30.3,23.9,22.7,21.7,47.1,44.4,37.8,33.7,48,31.8,68.6,-6.2
116,Wyoming,MWC,29,15–14,98.9,92,0.695,50.4,46.2,21.4,17.9,24.9,24.3,22.2,22.7,54,45.6,29.5,31.7,37,32,64.2,-8.7
117,Missouri St.,MVC,32,23–9,97,90.5,0.6907,47.6,48.1,20.8,25.7,36.4,24.6,28.8,39.5,47,47.7,33,32.8,24.1,31.4,68.2,-4.9
118,Kent St.,MAC,29,19–10,99.7,93,0.6899,47.1,45.2,19.4,20.5,32.7,25.5,27.1,26.8,46.8,44.9,31.9,30.6,33.5,36,69.9,-6.2
119,Duquesne,A10,32,20–12,100.4,93.9,0.6837,50.1,45,21.4,19.2,28.6,28.5,25.8,26.8,49.1,41.5,34.4,34.5,41.4,34.6,70.7,-6.8
120,Old Dominion,SB,30,21–9,88.9,83.3,0.6781,41.7,42.9,22.8,28.5,35.4,30.4,30.7,40.9,41.5,44.1,28,27.1,31.5,33.3,70.5,-5.4
121,Maine,AE,33,24–9,96.7,91,0.6681,46.3,45.2,18.9,22.2,34.5,24.6,20.6,25.2,47.1,45.3,30.2,30,40.7,28.6,66.2,-5.9
122,SMU,Amer,30,14–16,98.9,93.2,0.6645,47,45.6,20.2,22.1,29.5,31.2,33,29.3,47.4,45.1,30.5,31.1,23.1,33.2,70.7,-11.3
123,Troy,SB,30,19–11,99.9,94.2,0.6613,44.7,46,17.9,20.6,38.1,28.5,26.6,26.9,45.5,45.2,28.1,31.6,22.7,33.8,79.7,-7.3
124,UC Irvine,BW,31,23–8,92,86.8,0.6593,43.6,44.2,21.7,28.3,36.2,28.1,28.4,27.9,45.5,42.6,26,31.4,28.7,35.5,67,-6.3
125,Illinois St.,MVC,31,20–11,99.9,94.6,0.651,50.8,46.1,20.1,17.6,26.5,25.2,35.8,24.9,50,45.5,34.8,31.5,35.7,36.1,69.9,-6.2
126,North Dakota St.,Sum,30,19–11,100.4,95.2,0.6474,50.5,48.2,22,22.2,35.6,30,33.6,34.5,48.3,47.8,36.7,32.8,32.7,26.6,70.1,-6.6
127,Wake Forest,ACC,32,7–25,95.3,90.5,0.6432,44,49.4,22,22.5,26.6,33.4,24.9,30.5,43.4,48.4,30,34.2,37.8,31.8,67,-13.4
128,Northern Arizona,BSky,33,24–9,101.7,96.7,0.6393,48.3,47.3,18,20.3,29.7,27,25.8,30.4,46.3,46.6,34.7,32.6,34.3,31.6,74.2,-5.3
129,Cal Baptist,WAC,31,28–3,97.4,92.9,0.6346,49.5,44.1,18,21.2,26.1,26.8,30.7,27.1,49.8,44.5,32.8,29.1,45.3,43.3,77.2,-1.5
130,Liberty,CUSA,32,16–16,100.8,96.5,0.6241,48.2,44.5,23.6,16.5,35.2,31.9,23.9,30.8,46.7,42.2,34,32.7,34.3,33.4,67.2,-8.2
131,UTSA,Amer,31,17–14,91.7,87.8,0.6223,43.2,41,24.8,19.5,40.2,30,23.9,33.8,43.4,39.5,28.6,29.2,26.7,35.2,68.9,-10.2
132,Boise St.,MWC,32,19–13,91,87.2,0.6209,45.6,41.9,21.9,20,31.2,25.3,28.9,22.1,42.3,41.7,34.9,28.3,32.9,33.3,69.4,-9.4
133,Southern Miss,SB,30,17–13,92.5,88.9,0.614,45.4,43.2,23.9,23.1,34.4,31.7,27.2,27.6,45.9,43.1,29.2,28.9,23.1,35.8,69.4,-9.8
134,Lamar,Slnd,28,22–6,96.4,92.8,0.6082,45.3,43.8,20.7,24.3,36.7,26.1,30.8,33.3,46.8,44.3,27.5,28.4,26.7,29.3,66.7,-3.1
135,Charlotte,Amer,31,16–15,89.9,86.8,0.5987,43.8,43.7,25.1,25.1,32.6,31,36.5,28,42.5,43.7,31.4,29.2,29.6,34.6,70.7,-9.9
136,Kentucky,SEC,32,12–20,95.2,91.9,0.5984,43.3,50.8,22.6,21.8,30.2,33.7,32.1,26.1,43.2,52.7,29.2,30.9,27.4,29.6,72.3,-7.3
137,Norfolk St.,MEAC,31,26–5,92.2,89,0.5982,45,41.4,20.2,30.8,35.3,29.8,26.8,32.7,43.7,40,32.1,29,29,39.2,67.5,-3.3
138,Pacific,WCC,31,17–14,95,92.1,0.5887,48.4,47.2,22.9,22.2,29.8,31.1,27.3,29.3,48.5,44.5,32.2,35.1,24.4,33.1,75.6,-8.5
139,Hawaii,BW,30,20–10,91.8,89.2,0.584,46,40.8,22.9,20.8,25.9,30.3,30.8,24.2,44.9,41.1,31.6,26.9,44.3,35.8,65.4,-6.4
140,Louisiana Monroe,SB,30,17–13,96.5,94.1,0.5712,46.1,43.3,18.6,21.2,27.3,33.1,28.7,31.7,45,44.1,32,27.8,37.6,34.3,72.2,-9.5
141,Oral Roberts,Sum,27,17–10,98.2,96.1,0.5646,46.1,51.3,16.5,25.5,29.9,33.1,28.4,28.4,47.5,52.3,28.3,32.9,26.7,34.2,77.6,-5.3
142,Tulane,Amer,32,12–20,97.6,95.5,0.5638,48.3,46.7,24.7,20.3,31.8,32.3,23.7,22.4,48.6,44.1,31.8,34.2,40.4,35.5,66.3,-15.5
143,Vermont,AE,32,21–11,94.3,92.6,0.5534,48.6,42.1,20.1,20.9,28.4,28.7,21,24.8,49.7,42.5,30.9,27.3,30.4,26.3,62.8,-8.7
144,Southern Indiana,OVC,28,22–6,94.9,93.3,0.551,50.8,42.1,22.4,20.3,29.8,28.6,27.5,28.3,49.7,40.9,35.2,29.2,35,38.5,70.5,-4.5
145,Purdue Fort Wayne,Horz,31,19–12,93.1,91.6,0.5452,47.4,46.8,19.4,23.6,27.2,27.2,25.5,26.2,44.6,48.9,34.2,28.8,41.5,36,69.9,-8.1
146,New Mexico,MWC,31,20–11,90.3,89,0.5424,45.2,44,20,19.5,25.7,23.9,26.9,17.1,44.9,43,30.5,30.5,37.2,36.8,70.3,-7.3
147,Montana St.,BSky,33,17–16,86.9,85.8,0.5359,41.7,44.7,23.3,26.5,30,31.8,30.4,27.2,42.2,43.3,27,31.4,30.7,37.4,68.1,-12.3
148,Monmouth,CAA,29,20–9,91.1,90,0.534,47.4,40.6,26.1,18,33.3,27.4,28.4,22.6,46.4,41,32.8,26.3,36.5,26.4,68.6,-7.4
149,San Diego St.,MWC,33,20–13,93.6,92.5,0.5323,46,47.1,18.9,22.2,24.7,25.9,28.3,24.7,45,45.2,32.3,33.5,29.7,36.4,70,-8.4
150,South Dakota,Sum,30,18–12,95.3,94.4,0.5275,49.2,45.7,23.1,18.2,31.3,27.7,33,24.3,49.9,46.9,32.3,29.1,43.3,35.9,67.9,-7.9
