Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,South Carolina,SEC,32,32–0,122.5,73.2,0.9973,54.6,36.1,18,21.6,40.2,28.7,28.7,21.7,53,34.4,39.7,26.7,24.4,31,72.9,14
2,Connecticut,BE,33,28–5,122,75.3,0.9961,55.3,41.5,18.1,23.7,31.6,26.3,25.1,21,56,40.9,35.8,28.4,32.1,37.1,71.5,9.2
3,Texas,B12,34,30–4,120.9,76.2,0.9951,53,43.7,19,28.1,41.2,27.7,34.8,28,52.7,42.1,36.4,31.5,17.7,31.7,70.6,9.5
4,UCLA,P12,31,25–6,117.1,75.7,0.9935,50.4,41.8,20.9,21.2,41.6,22.9,26,30.7,50.9,38.4,32.8,32.5,33,32.7,70.5,9.6
5,Stanford,P12,33,28–5,121.6,79.1,0.9929,52.1,40.2,18.1,16.5,39.6,25.8,24.6,17.5,52,38.2,34.9,29.5,33.4,32.9,69.1,10.1
6,Iowa,B10,33,29–4,128.1,84.7,0.9915,58.9,46,17.8,19.1,31.7,25.7,29.7,22.7,60.3,45.7,38.2,31.1,45,38.3,76.1,10.5
7,LSU,SEC,33,28–5,118.9,79.8,0.9899,49.9,41.8,20,25.9,44.6,28.9,40,25.7,50.3,40.4,32.1,29.6,19.8,34.1,75.8,6.9
8,Ohio St.,B10,29,24–5,113.8,77.1,0.9888,53.2,45.8,18.2,28,28.2,30.7,30.7,29,53.1,46.2,35.6,29.9,35.2,32.3,71.6,8.5
9,Notre Dame,ACC,32,26–6,110.4,75.4,0.9877,49.9,41.9,19.3,25.4,35.2,29.3,28.6,22.6,49,42.3,35,27.5,24.8,30.7,73.4,7.8
10,USC,P12,31,26–5,115.1,78.9,0.9872,48.6,43.5,17.3,22.2,32.9,27.8,30.2,26.5,46.2,42.4,35.6,30.7,34.1,30.6,69.9,10.2
11,N.C. State,ACC,33,27–6,111,76.3,0.9868,47.6,40.4,17.5,18.5,30.7,24.9,29.7,15.6,47.3,38.6,32.3,29.3,29.6,34,71,7.7
12,Kansas St.,B12,32,25–7,106.6,74.5,0.984,51,40.1,19.4,22.9,28,25,25.9,26.2,53.2,40,31.3,26.9,34.3,30.4,69.5,6.6
13,Gonzaga,WCC,33,30–3,121.5,85.5,0.9827,56.2,44.8,19.3,22.6,39.7,26.9,24.2,21.5,53.9,45.9,40,28.4,38.5,34,68.4,4
14,Baylor,B12,31,24–7,107.4,75.6,0.9827,50.6,43.4,21.8,25.6,35.4,24.6,24.4,25.1,50.9,45.2,33.3,26.1,36.2,30,73.2,5
15,Indiana,B10,29,24–5,117,82.4,0.9826,58.2,45,18.8,19.8,25.6,24.9,28.3,24.9,57.1,44.1,40.2,31.4,35.8,28.5,69.7,6.4
16,Utah,P12,30,20–10,116.2,82.4,0.9812,54.9,47.1,20.1,22.3,32.4,23.7,21.9,19.9,56.2,45.9,35.7,33.4,47.2,29.7,69.6,4.6
17,West Virginia,B12,31,24–7,106.8,75.7,0.9811,50.7,44.7,20.6,32.7,30,31.8,32.5,31.1,51.9,44.6,32.4,29.8,36.1,30.4,72.4,3.7
18,Oregon St.,P12,31,24–7,112.4,80,0.9805,52.9,39.8,19.2,13.6,29.1,24.9,25.2,18.7,52.4,38.9,35.9,28.1,37.5,28.4,67.6,7
19,Colorado,P12,31,22–9,113.8,81,0.9803,51.5,45.7,19.3,23.4,32.1,25.1,26.1,28.7,50.5,43.2,35.8,34,30.6,32.5,71.3,5.6
20,Michigan St.,B10,30,22–8,116.8,85,0.9747,55.7,48.7,15.9,24.7,26.5,26.3,28.9,25.6,55.5,47.7,37.3,33.8,39,32.2,72.7,2.4
21,Virginia Tech,ACC,31,24–7,115.1,84.2,0.9733,52.3,42,18.3,17,34.6,25.8,20.3,26.2,52.3,41.2,34.8,29.3,41.5,28,67.3,5.8
22,Duke,ACC,31,20–11,104.6,76.6,0.973,49.4,40.8,24.6,24.9,36.5,30.4,23.7,31.1,50.1,38.3,31.8,31.7,30.6,27.8,68.3,2.5
23,Louisville,ACC,33,24–9,111.1,82.4,0.9689,49.3,46.6,21.9,25.8,37.7,28.7,33.8,28.9,49.6,47.2,32.3,30.2,25.1,32.6,70.3,4.3
24,Creighton,BE,30,25–5,115.2,85.6,0.9681,51.7,44.3,16.2,18.7,28.1,27.2,22.5,26.3,50.9,43.6,35.2,30.8,41.5,28.7,68.7,5.3
25,Penn St.,B10,31,19–12,113.3,85.3,0.9632,55.9,46.8,21.9,23.8,31.3,29.4,27.1,31.2,55.7,46.5,37.5,31.6,37.1,32.3,76.6,0.41
26,Oklahoma,B12,31,22–9,108.4,81.7,0.9627,48.6,43.9,21.3,21.5,35,27.9,23.4,27.8,49.3,43.5,31.7,29.7,38.1,31.5,76.4,5.2
27,Mississippi,SEC,31,23–8,104.7,79.1,0.9614,44.3,41.6,22.1,24.2,40.8,29.1,38,29.5,45.4,39.7,26.4,31.6,19.5,24.5,67.9,2.9
28,Tennessee,SEC,31,19–12,111.5,84.8,0.959,48.3,43.8,20.5,16.3,35.8,30.5,29.6,18.5,48.6,41.8,31.9,32.5,33.2,27.9,71.8,2.4
29,Maryland,B10,32,19–13,110.2,83.9,0.9583,48.4,47,20.2,21.9,34,31.4,32.5,24.1,46.7,47.6,35.7,30.6,24.7,36.5,74.4,2
30,Iowa St.,B12,31,20–11,112.5,85.7,0.9579,53.8,44.9,22.6,14.9,29.9,22.9,26.5,21.1,52.3,43.1,37.5,31.7,38.7,40.7,70,3.1
31,Kansas,B12,31,19–12,109.7,84,0.9557,49,44.7,19.4,21.4,26.7,31.7,34.5,26.4,48.9,43.2,32.8,31.9,29.7,31.8,67.7,2.6
32,North Carolina,ACC,31,19–12,106.1,81.5,0.9542,46.3,43.4,18.2,22.6,31.2,28,30.3,27.2,46.4,40.9,30.6,32,28.6,35.7,69.8,1.6
